run,epoch,split,top1,top5,loss,wall_clock_min,lr,optimizer,prec_bits,device,model,batch_size,amp
Shampoo1 AdamW 4-bit,1,train,8.532,27.852,3.9768997021484376,2.411771313349406,0.0009990133642141358,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,1,val,11.86,36.13,3.7422769348144533,2.411771313349406,0.0009990133642141358,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,2,train,17.654,45.394,3.3711932738494874,3.4898862481117248,0.000996057350657239,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,2,val,22.66,52.94,3.1049622619628905,3.4898862481117248,0.000996057350657239,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,3,train,26.83,58.472,2.873551082611084,4.694039765993754,0.0009911436253643444,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,3,val,28.11,60.6,2.823248828125,4.694039765993754,0.0009911436253643444,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,4,train,34.91,67.912,2.4716991307067873,6.0508953332901,0.0009842915805643156,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,4,val,34.24,68.2,2.5452991470336914,6.0508953332901,0.0009842915805643156,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,5,train,41.438,74.542,2.167415051345825,7.3814858317375185,0.0009755282581475769,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,5,val,39.9,72.45,2.295954864501953,7.3814858317375185,0.0009755282581475769,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,6,train,46.58,78.826,1.942931146888733,8.703227698802948,0.0009648882429441258,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,6,val,44.22,77.12,2.0486896942138673,8.703227698802948,0.0009648882429441258,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,7,train,50.686,81.844,1.7686789044189453,9.973794066905976,0.0009524135262330099,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,7,val,49.19,79.98,1.8953076759338379,9.973794066905976,0.0009524135262330099,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,8,train,54.38,84.558,1.611210779800415,11.24563026825587,0.0009381533400219318,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,8,val,51.02,81.54,1.825013205718994,11.24563026825587,0.0009381533400219318,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,9,train,57.572,86.682,1.4847535689544678,12.485838933785756,0.0009221639627510075,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,9,val,53.96,83.12,1.688982241821289,12.485838933785756,0.0009221639627510075,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,10,train,60.308,88.498,1.3706879735183717,13.724045165379842,0.0009045084971874736,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,10,val,53.02,82.48,1.742331121826172,13.724045165379842,0.0009045084971874736,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,11,train,62.826,89.726,1.2762352299880981,14.995539748668671,0.0008852566213878945,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,11,val,55.09,83.65,1.649424168586731,14.995539748668671,0.0008852566213878945,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,12,train,65.132,91.232,1.175705438270569,16.22633930047353,0.0008644843137107056,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,12,val,57.31,85.39,1.5600081565856934,16.22633930047353,0.0008644843137107056,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,13,train,67.446,92.27,1.0976444206237792,17.478925534089406,0.0008422735529643443,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,13,val,59.09,86.25,1.502781158065796,17.478925534089406,0.0008422735529643443,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,14,train,69.62,93.212,1.0145496960067748,18.70184404850006,0.0008187119948743448,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,14,val,58.78,85.97,1.548482574081421,18.70184404850006,0.0008187119948743448,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,15,train,71.874,94.224,0.9320611596488952,19.926406300067903,0.0007938926261462366,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,15,val,60.02,87.22,1.4764695436477662,19.926406300067903,0.0007938926261462366,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,16,train,73.676,94.928,0.8616865475463867,21.18386199871699,0.0007679133974894982,shampoo1-adamw,4,mps,resnet34,256,1
Shampoo1 AdamW 4-bit,16,val,63.21,88.43,1.3724792547225952,21.18386199871699,0.0007679133974894982,shampoo1-adamw,4,mps,resnet34,256,1
