run,epoch,split,top1,top5,loss,wall_clock_min,lr,optimizer,prec_bits,device,model,batch_size,amp
Shampoo2 AdamW top half,1,train,9.55,30.304,3.8979109593963623,1.888007930914561,0.0009990133642141358,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,1,val,13.4,36.13,3.722608544921875,1.888007930914561,0.0009990133642141358,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,2,train,20.616,50.146,3.2029357191467285,3.0038591305414837,0.000996057350657239,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,2,val,24.08,54.38,3.07498515625,3.0038591305414837,0.000996057350657239,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,3,train,30.588,63.068,2.6856549217987062,4.299362166722616,0.0009911436253643444,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,3,val,32.88,66.39,2.5800819152832033,4.299362166722616,0.0009911436253643444,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,4,train,38.37,71.298,2.306022660140991,5.7098509788513185,0.0009842915805643156,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,4,val,38.74,72.07,2.32116806640625,5.7098509788513185,0.0009842915805643156,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,5,train,44.314,77.298,2.0314333601379393,7.117021147410075,0.0009755282581475769,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,5,val,41.9,74.33,2.188234619140625,7.117021147410075,0.0009755282581475769,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,6,train,49.39,81.248,1.811853113937378,8.517431684335072,0.0009648882429441258,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,6,val,48.8,80.32,1.8536416412353516,8.517431684335072,0.0009648882429441258,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,7,train,53.61,84.242,1.6397433203125,9.88795038064321,0.0009524135262330099,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,7,val,49.84,80.26,1.8644841537475585,9.88795038064321,0.0009524135262330099,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,8,train,57.284,86.44,1.4998377703094483,11.280884130795796,0.0009381533400219318,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,8,val,52.22,82.7,1.7446177471160889,11.280884130795796,0.0009381533400219318,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,9,train,59.642,88.07,1.3949231304550171,12.686994763215383,0.0009221639627510075,shampoo2-adamw,4,mps,resnet34,256,1
Shampoo2 AdamW top half,9,val,54.87,83.9,1.6560738731384277,12.686994763215383,0.0009221639627510075,shampoo2-adamw,4,mps,resnet34,256,1
